Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Contratos:ID del Contrato,Entrega compilada:Contratos:ID de Adjudicación,Entrega compilada:Contratos:Título del contrato,Entrega compilada:Contratos:Descripción del contrato,Entrega compilada:Contratos:Periodo:Fecha de inicio,Entrega compilada:Contratos:Periodo:Fecha de fin,Entrega compilada:Contratos:Periodo:Duración (días),Entrega compilada:Contratos:Valor:Monto,Entrega compilada:Contratos:Valor:Moneda,Entrega compilada:Contratos:Valor:Nombre de Moneda,Entrega compilada:Contratos:Fecha de firma,Entrega compilada:Contratos:Implementación:Fecha de fin,Entrega compilada:Contratos:Implementación:Valor final:Monto,Entrega compilada:Contratos:Implementación:Valor final:Moneda,Entrega compilada:Contratos:Implementación:Valor final:Nombre de Moneda
ocds-dgv273-seacev3-2025-46-286,ocds-dgv273-seacev3-2025-46-286-2025-05-25T10:05:42.768983-05:00,2326670,1114277-20604544964,ORDEN DE COMPRA N°2080,"ADQUISICION DE ALPACA HUACAYA MACHO 2 DIENTES PARA EL PROYECTO: MEJORAMIENTO DE LA PRODUCTIVIDAD DE ALPACAS EN LA ASOCIACION DE PRODUCTORES AGROPECUARIOS SANTA CRUZ DE LLOQUE, DISTRITO DE LLOQUE, PROVINCIA DE GENERAL SANCHEZ CERRO, REGION MOQUEGUA.",2025-05-24T00:00:00-05:00,2025-06-07T00:00:00-05:00,14,50120.0,PEN,Soles,2025-05-23T00:00:00-05:00,,,,
ocds-dgv273-seacev3-1113764,ocds-dgv273-seacev3-1113764-2025-05-25T10:05:42.677976-05:00,2326777,1113764-10774763975,0300-2025,AQUISICION DE EPPS,2025-05-07T00:00:00-05:00,2025-05-11T00:00:00-05:00,4,75830.0,PEN,Soles,2025-05-06T00:00:00-05:00,,,,
ocds-dgv273-seacev3-2025-200345-7,ocds-dgv273-seacev3-2025-200345-7-2025-05-25T10:05:42.188346-05:00,2326608,1110527-20520714457,ORDEN DE COMPRA N° 338,ADQUISICION DE EPPS PARA LA DDC-C,2025-05-23T01:00:00-05:00,2025-08-15T01:00:00-05:00,84,53208.4,PEN,Soles,2025-05-23T01:00:00-05:00,,,,
ocds-dgv273-seacev3-2025-2006-6,ocds-dgv273-seacev3-2025-2006-6-2025-05-25T10:05:42.020353-05:00,2326587,1109403-20100466709,010-2025-SERPAR-LIMA,ALQUILER DE IMPRESORAS MULTIFUNCIONALES POR DOCE (12) MESES PARA LAS ÁREAS ADMINISTRATIVAS DE SERPAR LIMA,2025-05-31T00:00:00-05:00,2026-05-31T00:00:00-05:00,365,120000.0,PEN,Soles,2025-05-20T00:00:00-05:00,,,,
ocds-dgv273-seacev3-2025-1636-22,ocds-dgv273-seacev3-2025-1636-22-2025-05-25T10:05:42.003885-05:00,2326775,1109370-10182224893,26-2025-MPT,CONTRATACIÓN DEL SERVICIO DE CONSULTORÍA DE OBRA PARA LA ELABORACIÓN DE EXPEDIENTE TÉCNICO DE LA OBRA: MEJORAMIENTO DEL SERVICIO DE PRÁCTICA DEPORTIVA Y/O RECREATIVA EN BARRIO NICARAGUA DISTRITO DE MANCORA DE LA PROVINCIA DE TALARA DEL DEPARTAMENTO DE PIURA; CON CUI N° 2668079,2025-05-14T00:00:00-05:00,2025-07-12T00:00:00-05:00,59,88205.0,PEN,Soles,2025-05-13T00:00:00-05:00,,,,
ocds-dgv273-seacev3-2025-10246-14,ocds-dgv273-seacev3-2025-10246-14-2025-05-25T10:05:41.882748-05:00,2326662,1108080-20521606003,01,ADQUISICION DE MEDICAMENTOS PARA LA REALIZACION DE CAMPAÑAS CIVICAS MULTISECTORIALES EN EL VRAEM DURANTE AL AF-2025,2025-05-22T00:00:00-05:00,2025-06-27T00:00:00-05:00,36,195950.8,PEN,Soles,2025-05-21T00:00:00-05:00,,,,
ocds-dgv273-seacev3-2025-1053-5,ocds-dgv273-seacev3-2025-1053-5-2025-05-25T10:05:41.564348-05:00,2326605,1106514-1671207,CONTRATO OBRA 019-2025,"CONTRATACION DE LA EJECUCION DE LA OBRA: ""CONSTRUCCION DE ALMACEN EN EL (LA) PARA ARCHIVO DOCUMENTARIO DE LA SUB GERENCIA DE TESORERIA DE LA MUNICIPALIDAD ¿ DISTRITO DE MARCONA ¿ PROVINCIA DE NASCA ¿ DEPARTAMENTO DE ICA¿ CON CUI N° 2653877",2025-06-01T00:00:00-05:00,2025-06-30T00:00:00-05:00,29,280773.9,PEN,Soles,2025-05-19T00:00:00-05:00,,,,
ocds-dgv273-seacev3-2025-10248-75,ocds-dgv273-seacev3-2025-10248-75-2025-05-25T10:05:41.458293-05:00,2326580,1105999-1670489,CONTRATO DIRCOMAR N° 116-2025,SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE FLOTA LIVIANA Y PESADA - DIHIDRONAV,2025-05-15T00:00:00-05:00,2025-12-15T00:00:00-05:00,214,271700.0,PEN,Soles,2025-05-14T00:00:00-05:00,,,,
ocds-dgv273-seacev3-2025-2543-1425,ocds-dgv273-seacev3-2025-2543-1425-2025-05-25T10:05:41.390201-05:00,2326725,1104692-20603827962,24-DA-OA-GRA-ICA-ESSALUD-2025.,"¿Contratación de Servicio de Planchado, Pintura y Tapizado en General de las Unidades Móviles de la Red Asistencial Ica¿.",2025-05-22T00:00:00-05:00,2026-02-25T00:00:00-05:00,279,315700.0,PEN,Soles,2025-05-08T00:00:00-05:00,,,,
ocds-dgv273-seacev3-2025-1613-3,ocds-dgv273-seacev3-2025-1613-3-2025-05-25T10:05:41.310668-05:00,2326514,1103127-20526021658,CONTRATO Nº006-2025-MDCH,"CONTRATACION DE LA EJECUCION DE LA OBRA: MEJORAMIENTO DEL SERVICIO DE AGUA DEL SISTEMA DE RIEGO EN EL CANAL HUACHUMO EL HUALUY DE LA LOCALIDAD DE JOSE OLAYA DEL DISTRITO DE CHALACO, PROVINCIA DE MORROPON, DEPARTAMENTO DE PIURA, CUI 2459176",2025-05-16T00:00:00-05:00,2025-09-15T00:00:00-05:00,122,3158482.05,PEN,Soles,2025-05-15T00:00:00-05:00,,,,
ocds-dgv273-seacev3-2025-10547-5,ocds-dgv273-seacev3-2025-10547-5-2025-05-25T10:05:38.403358-05:00,2326519,1108856-20524671876,038-2025-DRE-PASCO,"CONTRATACIÓN DEL SERVICIO DE INTERNET PARA EL IESTP PASCO, IESTP OXAPAMPA, IESTP DANIEL ALCIDES CARRIÓN, IESTP ALFRED NOBEL, IESTP PAUCARTAMBO, IESTP ALEXANDER VON HUMBOLDT, IESTP FERNANDO BELAUNDE TERRY, IESTP RODRIGO SALAZAR PALACIOS, IESTP ALBERTO PUMAYALLA DÍAZ DE LA REGIÓN PASCO, EN MARCO DEL PROGRAMA PRESUPUESTAL 147 FORTALECIMIENTO DE LA EDUCACIÓN SUPERIOR TECNOLÓGICA DE LA DIRECCIÓN REGIONAL DE EDUCACIÓN PASCO",2025-05-01T00:00:00-05:00,2025-12-31T00:00:00-05:00,244,123560.0,PEN,Soles,2025-04-30T00:00:00-05:00,,,,
ocds-dgv273-seacev3-2025-21-30,ocds-dgv273-seacev3-2025-21-30-2025-05-25T10:05:38.047682-05:00,2326768,1107760-20600226534,CONTRATO N° 0033-2025-RE/AS,"CONTRATACION DEL SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE EQUIPOS DE IMPRESIÓN (TINTA, LASER, MATRIZ, TERMICAS), PLOTTER, ESCANER, DUPLICADORES Y COPIADORAS MULTIFUNCIONALES",2025-05-22T00:00:00-05:00,2025-06-20T00:00:00-05:00,29,159990.0,PEN,Soles,2025-05-21T00:00:00-05:00,,,,
ocds-dgv273-seacev3-2025-10247-66,ocds-dgv273-seacev3-2025-10247-66-2025-05-25T10:05:37.685034-05:00,2326565,1109379-20511940126,019,SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE EQUIPOS DEL COEDE,2025-05-23T01:00:00-05:00,2025-06-30T01:00:00-05:00,38,53000.0,PEN,Soles,2025-05-15T01:00:00-05:00,,,,
